Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Inventory
7-Oct,"6,551","1,281,945,537","195,687","146,433","48,300",6.4
7-Nov,"6,145","1,248,203,125","203,125","149,037","46,154",6.2
7-Dec,"5,712","1,139,429,760","199,480","146,676","42,267",5.7
8-Jan,"4,659","867,748,068","186,252","140,702","43,944",6
8-Feb,"5,729","1,096,811,321","191,449","142,592","44,274",6.1
8-Mar,"6,572","1,326,834,224","201,892","150,862","45,456",6.4
8-Apr,"7,053","1,417,187,502","200,934","148,923","45,783",6.5
8-May,"7,751","1,622,904,380","209,380","154,764","45,499",6.5
8-Jun,"7,728","1,625,368,416","210,322","156,760","45,534",6.7
8-Jul,"7,559","1,583,852,388","209,532","155,158","44,771",6.7
8-Aug,"7,312","1,512,465,264","206,847","152,823","42,888",6.5
8-Sep,"6,394","1,239,764,630","193,895","143,995","41,398",6.3
8-Oct,"5,575","1,091,506,950","195,786","146,157","40,269",6.2
8-Nov,"4,099","776,526,857","189,443","139,348","40,069",6.3
8-Dec,"4,883","933,424,514","191,158","142,391","36,973",5.9
9-Jan,"3,447","590,743,413","171,379","132,936","38,215",6.2
9-Feb,"4,273","779,779,770","182,490","141,643","39,087",6.5
9-Mar,"5,354","986,726,138","184,297","141,160","40,065",6.7
9-Apr,"5,408","997,116,224","184,378","143,038","40,615",7
9-May,"6,018","1,179,076,650","195,925","153,900","40,878",7.2
9-Jun,"6,807","1,391,350,800","204,400","158,109","37,793",6.8
9-Jul,"7,110","1,402,020,900","197,190","154,797","37,545",6.8
9-Aug,"6,240","1,255,681,440","201,231","152,590","36,879",6.7
9-Sep,"5,920","1,120,827,680","189,329","147,208","35,612",6.6
9-Oct,"6,252","1,141,977,816","182,658","144,791","34,525",6.3
9-Nov,"5,632","1,049,793,536","186,398","144,228","33,826",6
9-Dec,"5,014","965,641,246","192,589","143,852","32,269",5.7
10-Jan,"3,338","609,952,740","182,730","137,386","34,194",6.1
10-Feb,"4,174","773,133,324","185,226","142,752","35,715",6.4
10-Mar,"6,151","1,175,554,516","191,116","148,549","37,262",6.6
10-Apr,"7,075","1,386,707,075","196,001","151,238","37,429",6.4
10-May,"7,210","1,435,352,380","199,078","153,723","39,493",6.7
10-Jun,"6,783","1,448,936,979","213,613","157,076","41,302",7
10-Jul,"4,936","1,084,449,072","219,702","159,690","42,579",7.4
10-Aug,"5,172","1,064,925,144","205,902","157,932","41,922",7.4
10-Sep,"4,711","933,786,154","198,214","148,200","40,996",7.4
10-Oct,"4,415","857,114,855","194,137","146,697","39,438",7.3
10-Nov,"4,211","851,704,227","202,257","145,994","37,556",7.1
10-Dec,"4,699","1,020,260,977","217,123","154,406","35,287",6.7
11-Jan,"3,243","612,301,563","188,807","141,050","35,275",6.7
11-Feb,"3,612","719,369,625","199,161","145,000","35,785",6.9
11-Mar,"5,308","1,047,497,518","197,343","142,500","36,825",7.2
11-Apr,"5,617","1,138,138,151","202,624","148,000","37,466",7.5
11-May,"6,072","1,263,299,711","208,053","152,790","37,525",7.7
11-Jun,"6,739","1,405,939,536","208,627","154,992","37,110",7.6
11-Jul,"5,918","1,210,632,971","204,568","155,000","36,214",7.3
11-Aug,"6,570","1,364,880,768","207,744","155,000","34,234",6.7
11-Sep,"5,405","1,038,787,017","192,190","148,000","32,680",6.3
11-Oct,"4,819","935,798,886","194,189","146,000","31,450",6.1
11-Nov,"4,679","877,028,557","187,439","144,000","29,738",5.7
11-Dec,"4,966","1,001,205,046","201,612","151,000","27,001",5.1
12-Jan,"3,743","702,444,341","187,669","142,575","27,016",5.1
12-Feb,"4,489","874,332,567","194,772","149,900","27,632",5.2
12-Mar,"5,945","1,221,535,433","205,473","157,500","27,982",5.2
12-Apr,"6,234","1,338,366,790","214,688","159,000","28,277",5.2
12-May,"7,302","1,620,737,068","221,958","165,000","28,465",5.1
12-Jun,"7,609","1,687,165,043","221,733","168,500","28,366",5
12-Jul,"7,168","1,578,308,608","220,188","166,900","28,011",4.9
12-Aug,"7,725","1,656,218,908","214,397","165,000","26,926",4.6
12-Sep,"5,944","1,251,045,846","210,472","164,900","26,148",4.4
12-Oct,"6,145","1,236,429,164","201,209","157,491","24,879",4.1
12-Nov,"5,584","1,156,904,507","207,182","159,000","23,429",3.9
12-Dec,"5,629","1,226,288,482","217,852","165,299","21,313",3.5
13-Jan,"4,638","897,011,802","193,405","153,325","21,183",3.4
13-Feb,"5,234","1,063,542,398","203,199","159,950","21,027",3.4
13-Mar,"7,414","1,661,035,079","224,040","170,000","20,980",3.3
13-Apr,"8,008","1,910,106,849","238,525","179,000","21,097",3.2
13-May,"9,075","2,190,307,626","241,356","183,275","21,601",3.2
13-Jun,"8,663","2,156,958,425","248,985","186,000","22,423",3.3
13-Jul,"9,160","2,201,479,522","240,336","187,000","23,046",3.3
13-Aug,"9,042","2,148,197,200","237,580","184,900","23,003",3.3
13-Sep,"7,172","1,628,919,190","227,122","178,000","22,188",3.1
13-Oct,"6,866","1,552,035,108","226,046","175,000","21,557",3
13-Nov,"5,883","1,338,316,347","227,489","174,000","20,310",2.8
13-Dec,"6,284","1,475,133,488","234,744","179,900","18,454",2.5
14-Jan,"4,624","995,475,774","215,285","166,625","18,425",2.5
14-Feb,"5,500","1,306,886,028","237,616","179,000","18,551",2.5
14-Mar,"6,930","1,671,972,959","241,266","185,000","18,520",2.5
14-Apr,"7,642","1,897,515,796","248,301","185,000","19,356",2.7
14-May,"8,842","2,258,554,135","255,435","192,500","20,450",2.8
14-Jun,"9,354","2,396,442,292","256,194","200,500","20,861",2.9
14-Jul,"9,184","2,346,320,380","255,479","200,000","21,423",2.9
14-Aug,"8,894","2,211,286,323","248,627","197,000","21,005",2.9
14-Sep,"7,670","1,869,389,240","243,727","189,900","20,053",2.7
14-Oct,"7,613","1,866,967,084","245,234","188,466","19,226",2.6
14-Nov,"5,843","1,422,683,416","243,485","190,000","17,802",2.4
14-Dec,"7,019","1,794,906,101","255,721","199,900","16,144",2.2
15-Jan,"4,634","1,094,536,006","236,197","187,000","15,300",2.1
15-Feb,"5,514","1,413,107,456","256,276","198,500","15,063",2
15-Mar,"7,487","1,963,104,260","262,202","204,200","15,337",2.1
15-Apr,"7,808","2,102,894,357","269,326","212,500","16,618",2.2
15-May,"8,886","2,471,817,768","278,170","220,000","17,310",2.3
15-Jun,"9,859","2,782,385,025","282,218","225,000","18,459",2.4
15-Jul,"10,032","2,727,204,496","271,851","217,000","20,299",2.7
15-Aug,"9,492","2,528,145,069","266,345","215,000","19,072",2.5
15-Sep,"8,387","2,168,448,139","258,549","207,900","19,575",2.5
15-Oct,"7,521","1,932,176,661","256,904","208,500","18,858",2.4
15-Nov,"6,130","1,593,361,467","259,928","206,000","17,371",2.2
15-Dec,"7,995","2,166,474,632","270,979","215,000","14,552",1.9
16-Jan,"5,300","1,331,706,596","251,265","200,000","15,257",1.9
16-Feb,"6,383","1,669,903,168","261,617","215,000","15,640",2
16-Mar,"8,306","2,290,188,513","275,727","222,900","16,354",2
16-Apr,"8,513","2,395,640,772","281,410","226,000","17,260",2.1
16-May,"9,236","2,731,160,750","295,708","238,888","17,400",2.1
16-Jun,"9,887","2,949,474,034","298,318","245,000","18,746",2.3
16-Jul,"9,150","2,597,408,072","283,870","235,000","19,816",2.5
16-Aug,"9,909","2,857,284,466","288,352","236,000","19,251",2.4
16-Sep,"8,755","2,498,415,282","285,370","231,000","19,054",2.4
16-Oct,"7,782","2,208,961,313","283,855","230,000","18,512",2.3
16-Nov,"7,383","2,145,883,077","290,652","236,500","17,108",2.1
16-Dec,"7,794","2,275,480,698","291,953","240,000","14,466",1.8
17-Jan,"5,396","1,500,752,701","278,123","230,000","15,313",1.9
17-Feb,"6,331","1,877,986,729","296,634","244,900","15,815",1.9
17-Mar,"8,723","2,688,808,878","308,244","250,000","17,505",2.1
17-Apr,"8,376","2,570,110,172","306,842","255,000","18,097",2.2
17-May,"10,091","3,240,299,936","321,108","265,000","19,495",2.3
17-Jun,"10,576","3,422,061,293","323,569","265,000","21,430",2.6
17-Jul,"9,602","3,008,198,786","313,289","258,500","22,066",2.6
17-Aug,"10,115","3,120,686,088","308,521","257,500","22,001",2.6
17-Sep,"8,499","2,524,299,229","297,011","249,000","21,709",2.6
17-Oct,"8,036","2,402,177,075","298,927","249,000","21,077",2.5
17-Nov,"7,786","2,395,570,133","307,677","250,000","19,119",2.3
17-Dec,"8,338","2,638,490,281","316,442","259,900","15,898",1.9
18-Jan,"5,671","1,639,324,336","289,071","242,800","16,460",1.9
18-Feb,"6,633","2,046,480,987","308,530","256,000","16,913",2
18-Mar,"8,567","2,776,569,961","324,101","266,000","18,618",2.2
18-Apr,"8,747","2,787,949,296","318,732","265,000","20,431",2.4
18-May,"10,219","3,413,824,552","334,066","275,000","22,361",2.6
18-Jun,"10,359","3,531,790,144","340,939","279,900","24,717",2.9
18-Jul,"9,944","3,254,609,646","327,294","271,000","25,255",2.9
18-Aug,"9,945","3,218,599,180","323,640","266,000","25,584",3
18-Sep,"7,768","2,420,314,552","311,575","259,999","24,844",2.9
18-Oct,"7,783","2,391,420,049","307,262","256,000","24,664",2.9
